Country;Natural change;Net migration
Belgium;19;47.8
Bulgaria;-40.2;-2.5
Czech Republic;0.4;10.3
Denmark;5.6;16.5
Germany;-196;391.9
Estonia;-1.4;-3.6
Ireland;43.4;-35
Greece;-16.3;-44.2
Spain;52.2;-142.6
France;251.9;39.1
Croatia;-9.9;-3.9
Italy;-78.7;369.7
Cyprus;4.5;-0.6
Latvia;-9.1;-11.9
Lithuania;-10.5;-21.3
Luxembourg;2.2;10
Hungary;-39.2;16
Malta;0.7;3.1
Netherlands;35.1;14.1
Austria;-0.5;44.2
Poland;1.5;-6.6
Portugal;-17.8;-37.3
Romania;-54.4;15.9
Slovenia;2.7;0.6
Slovakia;3.1;3.4
Finland;7.8;17.6
Sweden;21.2;51.8
United Kingdom;243.9;156.8
Iceland;2.6;-0.3
Liechtenstein;0.1;0.2
Norway;18.3;47.1
Switzerland;18;66.4
Montenegro;1.5;0
FYR of Macedonia;3.4;-0.9
Serbia;-35.1;0
Turkey;905;-1.9
