Year;Population
1960;406.7
1961;410.0
1962;413.4
1963;417.7
1964;421.2
1965;424.7
1966;427.9
1967;431.1
1968;434.2
1969;437.0
1970;439.9
1971;441.7
1972;444.5
1973;447.2
1974;449.7
1975;451.8
1976;454.0
1977;456.0
1978;458.0
1979;460.0
1980;461.6
1981;463.8
1982;465.2
1983;466.4
1984;467.4
1985;468.3
1986;469.5
1987;470.8
1988;472.0
1989;473.7
1990;475.2
1991;476.7
1992;477.8
1993;479.4
1994;480.7
1995;481.7
1996;482.4
1997;483.2
1998;485.5
1999;486.2
2000;487.0
2001;488.2
2002;489.1
2003;490.8
2004;492.7
2005;494.8
2006;496.6
2007;498.4
2008;500.4
2009;502.2
2010;503.4
2011;505.0
2012;504.6
2013;505.7
