 ; ;Živorojeni - SKUPAJ; ; ; ; ;Živorojeni, rojeni v zakonski zvezi; ; ; ; ;Živorojeni, rojeni zunaj zakonske zveze; ; ; ; 
 ; ;Vrstni red rojstva - SKUPAJ;Prvo rojstvo;Drugo;Tretje;Èetrto ali rojstvo višjega reda;Vrstni red rojstva - SKUPAJ;Prvo rojstvo;Drugo;Tretje;Èetrto ali rojstvo višjega reda;Vrstni red rojstva - SKUPAJ;Prvo rojstvo;Drugo;Tretje;Èetrto ali rojstvo višjega reda
2002;;;;;;;;;;;;;;;;
 ;SLOVENIJA;17501;8963;6103;1829;606;10464;4274;4254;1458;478;7037;4689;1849;371;128
 ;Pomurska;957;537;328;68;24;503;214;226;49;14;454;323;102;19;10
 ;Podravska;2647;1677;724;189;57;1217;636;416;132;33;1430;1041;308;57;24
 ;Koroška;667;330;261;64;12;222;63;109;42;8;445;267;152;22;4
 ;Savinjska;2316;1142;851;248;75;1190;416;529;189;56;1126;726;322;59;19
 ;Zasavska;368;204;114;42;8;198;82;78;33;5;170;122;36;9;3
 ;Spodnjeposavska;645;321;229;64;31;387;154;166;44;23;258;167;63;20;8
 ;Jugovzhodna Slovenija;1301;597;466;165;73;883;338;364;135;46;418;259;102;30;27
 ;Osrednjeslovenska;4521;2240;1601;521;159;3078;1281;1210;444;143;1443;959;391;77;16
 ;Gorenjska;1935;892;686;266;91;1232;451;485;216;80;703;441;201;50;11
 ;Notranjsko-kraška;404;168;177;43;16;299;116;134;35;14;105;52;43;8;2
 ;Goriška;978;449;369;116;44;726;281;297;106;42;252;168;72;10;2
 ;Obalno-kraška;762;406;297;43;16;529;242;240;33;14;233;164;57;10;2
2003;;;;;;;;;;;;;;;;
 ;SLOVENIJA;17321;8676;6281;1800;564;9967;3857;4260;1405;445;7354;4819;2021;395;119
 ;Pomurska;1044;569;352;92;31;523;199;236;64;24;521;370;116;28;7
 ;Podravska;2628;1387;964;214;63;1037;388;468;143;38;1591;999;496;71;25
 ;Koroška;644;313;250;61;20;205;59;97;38;11;439;254;153;23;9
 ;Savinjska;2257;1116;827;246;68;1135;377;522;177;59;1122;739;305;69;9
 ;Zasavska;332;161;128;34;9;175;62;81;27;5;157;99;47;7;4
 ;Spodnjeposavska;583;270;228;59;26;329;119;151;45;14;254;151;77;14;12
 ;Jugovzhodna Slovenija;1281;590;461;166;64;834;307;353;134;40;447;283;108;32;24
 ;Osrednjeslovenska;4490;2210;1621;501;158;3050;1229;1253;424;144;1440;981;368;77;14
 ;Gorenjska;1820;906;634;211;69;1117;432;456;171;58;703;474;178;40;11
 ;Notranjsko-kraška;465;235;172;44;14;327;135;137;42;13;138;100;35;2;1
 ;Goriška;975;483;355;106;31;704;301;281;93;29;271;182;74;13;2
 ;Obalno-kraška;802;436;289;66;11;531;249;225;47;10;271;187;64;19;1
2004;;;;;;;;;;;;;;;;
 ;SLOVENIJA;17961;8962;6430;1972;597;9908;3827;4122;1498;461;8053;5135;2308;474;136
 ;Pomurska;1031;556;351;96;28;483;190;205;70;18;548;366;146;26;10
 ;Podravska;2560;1305;947;242;66;984;366;443;135;40;1576;939;504;107;26
 ;Koroška;684;356;247;68;13;231;80;97;45;9;453;276;150;23;4
 ;Savinjska;2334;1134;874;248;78;1100;355;508;177;60;1234;779;366;71;18
 ;Zasavska;361;185;127;37;12;185;73;75;30;7;176;112;52;7;5
 ;Spodnjeposavska;605;278;219;83;25;331;112;144;58;17;274;166;75;25;8
 ;Jugovzhodna Slovenija;1295;591;474;170;60;797;279;351;133;34;498;312;123;37;26
 ;Osrednjeslovenska;4749;2368;1682;542;157;3066;1277;1205;450;134;1683;1091;477;92;23
 ;Gorenjska;2022;966;715;252;89;1208;431;491;205;81;814;535;224;47;8
 ;Notranjsko-kraška;455;228;156;58;13;319;131;126;51;11;136;97;30;7;2
 ;Goriška;1030;510;367;109;44;704;294;276;93;41;326;216;91;16;3
 ;Obalno-kraška;835;485;271;67;12;500;239;201;51;9;335;246;70;16;3
2005;;;;;;;;;;;;;;;;
 ;SLOVENIJA;18157;9157;6486;1928;586;9682;3755;4034;1453;440;8475;5402;2452;475;146
 ;Pomurska;979;527;339;91;22;444;170;204;61;9;535;357;135;30;13
 ;Podravska;2690;1402;938;249;101;1041;398;431;149;63;1649;1004;507;100;38
 ;Koroška;603;313;212;67;11;188;63;84;35;6;415;250;128;32;5
 ;Savinjska;2375;1207;881;238;49;1039;387;452;166;34;1336;820;429;72;15
 ;Zasavska;348;175;137;29;7;177;69;86;18;4;171;106;51;11;3
 ;Spodnjeposavska;580;291;196;71;22;301;118;128;44;11;279;173;68;27;11
 ;Jugovzhodna Slovenija;1318;616;474;167;61;772;280;331;131;30;546;336;143;36;31
 ;Osrednjeslovenska;4939;2511;1729;524;175;3077;1262;1217;439;159;1862;1249;512;85;16
