Regija;Št.preb.;Št.životojenih;stopnja rodnosti
SLOVENIJA;2058821;21111;10.25392688
Pomurska;118022;1026;8.693294471
Podravska;323238;2924;9.04596613
Koroška;72100;678;9.403606103
Savinjska;260217;2665;10.24145233
Zasavska;43502;409;9.401866581
Spodnjeposavska;70211;709;10.09813277
Jugovzhodna Slovenija;142509;1568;11.00281386
Osrednjeslovenska;541718;6004;11.08325734
Gorenjska;203984;2256;11.05969096
Notranjsko-kraška;52382;584;11.14886793
Goriška;119002;1251;10.51242836
Obalno-kraška;111936;1037;9.264222413
